1	All-Time Best Book	1	\N	\N
2	Best Cover	1	45	\N
3	Best Fact Article	1	35	\N
6	Best Novella/Novelette	1	18	\N
7	Best Serial Novel or Novella	1	1	\N
8	Best Short Story	1	25	\N
10	Cover Artist	1	\N	\N
12	Best Novelette	1	20	\N
13	Best Novella	1	16	\N
16	Prix Apollo	2	\N	\N
17	Best Cover Artist	3	5	\N
18	Best Interior Artist	3	7	\N
19	Best Novelette	3	2	\N
20	Best Novella	3	1	\N
21	Best Poem	3	4	\N
22	Best Short Story	3	3	\N
23	Special Award	3	8	\N
24	Best Cover Art	3	5	\N
607	Winner	51	10	\N
606	Prix Jean Ray	57	\N	\N
30	Anthology	4	400	\N
31	Children's (8-12 years) Illustrated Work / Picture Book	4	660	\N
32	Children's (8-12 years) Long Fiction	4	650	\N
33	Children's (8-12 years) Short Fiction	4	655	\N
34	Children's Book	4	600	\N
35	Children's Fiction (told primarily through pictures)	4	610	\N
36	Children's Fiction (told primarily through words)	4	605	\N
37	Collection	4	450	\N
38	Convenors' Award for Excellence	4	2000	\N
39	Fantasy Novel	4	200	\N
40	Fantasy Short Fiction	4	205	\N
41	Fantasy Short Story	4	210	\N
42	Golden Aurealis - Novel	4	50	\N
43	Golden Aurealis - Short Story	4	55	\N
44	Horror Novel	4	300	\N
45	Horror Short Fiction	4	305	\N
46	Horror Short Story	4	310	\N
47	Illustrated Book / Graphic Novel	4	700	\N
48	Kris Hembury Encouragement Award	4	2100	\N
49	Peter McNamara Convenors' Award for Excellence	4	2000	\N
50	SF Novel	4	100	\N
51	SF Short Fiction	4	105	\N
52	SF Short Story	4	110	\N
53	Young Adult Novel	4	500	\N
54	Young Adult Short Fiction	4	505	\N
55	Young Adult Short Story	4	505	\N
56	Artistic Achievement / Accomplissement artistique	5	\N	\N
57	Best Long-Form Work in English / Meilleur livre en anglais	5	\N	\N
58	Best Other Work in English / Meilleur ouvrage en anglais (Autre)	5	\N	\N
59	Best Poem/Song in English	5	\N	\N
60	Best Short-Form Work in English / Meilleure nouvelle en anglais	5	\N	\N
61	Best Work	5	\N	\N
62	Best Work in English	5	\N	\N
63	Best Work in French	5	\N	\N
64	Contribution to Fandom	5	\N	\N
65	Fan Achievement (Fanzine) / Accomplissement fanique (Fanzine)	5	\N	\N
66	Fan Achievement (Organizational) / Accomplissement fanique (Organisation)	5	\N	\N
67	Fan Achievement (Other) / Accomplissement fanique (Autre)	5	\N	\N
68	Finalists for Non-Fiction	5	\N	\N
69	Lifetime Achievement	5	\N	\N
70	Lifetime Contributions	5	\N	\N
71	Meilleur livre en français / Best Long-Form Work in French	5	\N	\N
72	Meilleur nouvelle en français / Best Short-Form Work in French	5	\N	\N
73	Meilleur ouvrage en français (Autre) / Best Other Work in French	5	\N	\N
74	Undergraduate Excellence in SF & Fantasy Writing	6	\N	\N
75	August Derleth Fantasy Award (Best Novel)	7	1	\N
76	Best Anthology	7	28	\N
77	Best Anthology/Collection	7	\N	\N
78	Best Artist	7	\N	\N
79	Best Artwork	7	\N	\N
80	Best Collection	7	26	\N
81	Best Comic	7	\N	\N
82	Best Comic/Graphic Novel	7	\N	\N
83	Best Film	7	\N	\N
85	Best Magazine/Periodical	7	\N	\N
86	Best Newcomer	7	\N	\N
87	Best Non-Fiction	7	30	\N
88	Best Novella	7	16	\N
89	Best Short Fiction	7	22	\N
90	Best Short Story	7	25	\N
91	Best Small Press	7	\N	\N
92	Best Televison	7	\N	\N
93	Committee Award	7	\N	\N
94	Icarus (Newcomer)	7	\N	\N
585	Robert Holdstock Award for Best Fantasy Novel	7	2	\N
98	Special Award	7	\N	\N
99	The Karl Edward Wagner Award	7	\N	\N
100	The PS Publishing Best Small Press Award	7	\N	\N
101	The Sydney J. Bounds Award for Best Newcomer	7	\N	\N
102	Amateur Achievement	8	\N	\N
103	Amateur Publication	8	\N	\N
104	Artist	8	\N	\N
105	Collection	8	\N	\N
106	Collection/Anthology	8	\N	\N
107	Fantasy Film Hall of Fame	8	\N	\N
108	Judges' Choice	8	\N	\N
109	Novel	8	2	\N
110	Poet	8	\N	\N
111	Professional Achievement	8	\N	\N
112	Professional Publication	8	\N	\N
113	SF Film Hall of Fame	8	\N	\N
114	Short Fiction	8	21	\N
115	Short Story	8	24	\N
116	Special Award	8	\N	\N
118	Best Artwork	9	\N	\N
119	Best Non-Fiction	9	30	\N
120	Best Novel	9	1	\N
121	Best Short Fiction	9	22	\N
123	Body of Work	9	\N	\N
124	BSFA Fiftieth Anniversary Award: Best Novel of 1958	9	\N	\N
125	Best Media	9	\N	\N
126	Lifetime Achievement \		9	\N	\N
129	Special Award	9	\N	\N
130	Best Science Fiction Novel	10	\N	\N
131	Retrospective Prize (since no novel won in 1976)	10	\N	\N
132	Special Award for Excellence in Writing	10	\N	\N
133	Special Nonfiction Award	10	\N	\N
134	Carl Brandon Kindred Award	11	\N	\N
135	Carl Brandon Parallax Award	11	\N	\N
136	Compton Crook Award (Balticon - Best 1st Novel)	12	\N	\N
