1	Afrikaans	afr	\N
2	Albanian	alb	\N
3	Ancient Greek	grc	No
4	Arabic	ara	No
5	Armenian	arm	No
6	Azerbaijani	aze	\N
7	Basque	baq	\N
8	Belarusian	bel	No
9	Bengali	ben	No
10	Bulgarian	bul	No
11	Burmese	bur	No
12	Catalan	cat	\N
13	Chinese	chi	No
14	Czech	cze	\N
15	Danish	dan	\N
16	Dutch	dut	\N
17	English	eng	\N
18	Esperanto	epo	\N
19	Estonian	est	\N
20	Filipino	fil	\N
21	Finnish	fin	\N
22	French	fre	\N
23	Frisian	fry	\N
24	Galician	glg	\N
25	Georgian	geo	No
26	German	ger	\N
27	Greek	gre	No
28	Gujarati	guj	No
29	Hebrew	heb	No
30	Hindi	hin	No
31	Croatian	hrv	\N
32	Hungarian	hun	\N
33	Icelandic	ice	\N
34	Indonesian	ind	\N
35	Irish	gle	\N
36	Italian	ita	\N
37	Japanese	jpn	No
38	Kazakh	kaz	No
39	Khmer	khm	No
40	Kyrgyz	kir	No
41	Korean	kor	No
42	Latvian	lav	\N
43	Latin	lat	\N
44	Lithuanian	lit	\N
45	Macedonian	mac	No
46	Malay	may	\N
47	Malayalam	mal	No
48	Marathi	mar	No
49	Mongolian	mon	No
50	Norwegian	nor	\N
51	Persian	per	No
52	Polish	pol	\N
53	Portuguese	por	\N
54	Romanian	rum	\N
55	Russian	rus	No
56	Scottish Gaelic	gla	\N
57	Slovak	slo	\N
58	Slovenian	slv	\N
59	Spanish	spa	\N
60	Serbian	srp	No
61	Sinhalese	sin	No
62	Swedish	swe	\N
63	Tajik	tgk	No
64	Tamil	tam	No
65	Thai	tha	No
66	Tibetan	tib	No
67	Turkish	tur	\N
68	Ukrainian	ukr	No
69	Urdu	urd	No
70	Uzbek	uzb	\N
71	Vietnamese	vie	No
72	Welsh	wel	\N
73	Yiddish	yid	No
74	Amharic	amh	No
75	Bosnian	bos	\N
76	Hausa	hau	\N
77	Hawaiian	haw	\N
78	Javanese	jav	\N
79	Judeo-Arabic	jrb	No
80	Karen	kar	No
81	Ladino	lad	\N
82	Maltese	mlt	\N
83	Minangkabau	min	\N
84	Nyanja	nya	\N
85	Panjabi	pan	No
86	Samoan	smo	\N
87	Sindhi	snd	\N
88	Somali	som	No
89	Sundanese	sun	No
90	Swahili	swa	\N
91	Tagalog	tgl	\N
92	Tatar	tat	\N
93	Telugu	tel	No
94	Uighur	uig	No
95	Sanskrit	san	No
96	Serbo-Croatian Cyrillic	scc	No
97	Serbo-Croatian Roman	scr	\N
98	Scots	sco	\N
99	Old English	ang	\N
100	Old French	fro	\N
101	Middle English	enm	\N
102	Middle High German	gmh	\N
103	Yoruba	yor	\N
