1	Ace Double	\N
3	Tor Double	\N
4	SF Rediscovery	225608
5	Classic Reprint	\N
6	Easy Reading	\N
7	Gollancz SF Masterworks (HC)	225634
8	Millennium / Gollancz SF Masterworks	225644
9	Gollancz SF Masterworks (II)	225646
10	Venture SF	265321
11	Double-Action Pocketbook	\N
12	Millennium / Gollancz Fantasy Masterworks	\N
14	Leisure Adventure	\N
15	Millennium	\N
16	Forgotten Fantasy	\N
17	Signed First Editions of Science Fiction	\N
19	Quantum Science Fiction	\N
20	Penguin 60s	\N
21	Del Rey Gold Seal Selection	\N
23	Pulp Classics	\N
26	Ballantine Adult Fantasy	226160
27	Literature Circle Guides	\N
29	Continuum Literary Studies	\N
31	Ace SF Special, Series 1	\N
32	New Ace SF Special	\N
33	Tales of Mystery & The Supernatural	\N
34	Spectra Special Editions	\N
35	Ace SF Special, Series 2	\N
38	Crown Classics of Modern Science Fiction	\N
39	SFBC 50th Anniversary Collection	371272
40	Terri Windling's Fairy Tales	\N
41	Author's Choice Monthly	\N
42	Time-Lost	\N
43	The Golden Science Fiction Library	\N
44	Lost Fantasies	\N
45	Pilot Book	\N
47	Nonsuch Classics	\N
48	Classic Starts	\N
49	The Masterpieces of Science Fiction	491406
50	The Masterpieces of Fantasy	\N
51	Science Fiction from the Great Years	\N
53	Linford Mystery Library	\N
54	Gryphon Double	\N
56	Silhouette Nocturne	\N
57	Collection of British Authors	\N
59	Masterpiece Library	\N
64	The Ivory Series	\N
65	Pilot Omnibus	\N
66	Collector's Edition (Pocket)	\N
67	Apple Classics	\N
68	Scholastic Classics	\N
69	Signet Double Science Fiction	\N
70	Twayne's United States Authors	390741
71	Twayne's English Authors	\N
73	Twayne's Studies in Short Fiction	\N
74	Twayne's Masterwork Studies	\N
75	Studies in Literary Themes and Genres	\N
79	Modern Authors' Library	\N
80	Three Sirens Classics	\N
81	Dreamspun	\N
82	Silhouette Shadows	312604
84	Siren Publishing Classic	\N
85	Great Illustrated Classics	\N
86	Watermill Classic	\N
87	The Collector's Library of the World's Best-Loved Books	\N
88	Sphere Science Fiction Classics	\N
89	Foundation Classics	\N
90	Jamestown Classic	\N
91	A Stepping Stone Book	\N
92	Cemetery Dance Novella Series	\N
93	Puffin Classics	\N
94	Skylark Illustrated Edition	\N
95	Signet Classic	\N
96	Frankenstein Horror Series	\N
97	A Frederik Pohl Selection	\N
98	Ben Bova's Discoveries	\N
99	Ben Bova Presents	\N
100	Isaac Asimov Presents	\N
101	Jim Baen Presents	\N
102	A Jim Baen Presentation	\N
103	Gryphon SF Rediscovery	\N
105	The Dennis Wheatley Library of the Occult	\N
106	Conversation Pieces	\N
108	Vance Integral Edition	\N
113	Bluejay Illustrated Editions	\N
114	Cambridge Companions to Literature	\N
115	Routledge Key Guides	\N
117	American Bloodhound Mysteries	\N
118	Daniber - Science Fiction - Suspense	\N
121	Belmont Double	\N
122	Dedalus European Classics	\N
123	Ailleurs et demain	504694
124	Pendulum's Illustrated Stories	\N
125	Vintage Classics	\N
126	Easy Readers	\N
127	Dover Thrift Editions	\N
128	Textos Bilingües	\N
129	Everyman's Library	\N
130	Oxford Progressive English Readers	\N
131	Contributions to the Study of Science Fiction and Fantasy	\N
135	Starmont Studies in Literary Criticism	\N
136	University of Washington Chapbooks	\N
137	Bibliographies of Modern Authors	293350
138	Del Rey Discovery	\N
140	The Harlan Ellison Discovery	\N
142	The Science Fiction Book Club Collection	\N
143	Opium Series	\N
145	Masters of Science Fiction (Carroll & Graf)	\N
146	J'ai Lu - Science Fiction	282663
148	Le Rayon Fantastique	412608
149	LeapKids	\N
150	Signet Classics	\N
151	Axolotl Press	\N
152	Classic Frights	\N
154	Science Fiction Series (Stellar)	\N
163	Looking Glass Library	\N
164	Step Into Reading	\N
166	Le Masque - Science Fiction	233466
167	VGSF Classics	329556
168	SF Collectors' Editions	\N
169	Little Simon	\N
170	Well-Loved Tales	\N
172	The Milford Series: Popular Writers of Today	247052
173	Little Unicorn Classics	\N
174	Children's Classics	\N
175	Giant Story Coloring Book	\N
176	Galaxy Science Fiction Novel	\N
177	Critical Explorations in Science Fiction and Fantasy	\N
178	OPTA - Galaxie Bis	234643
179	Altemus' Wee Books for Wee Folks	\N
181	Sliver of Night	\N
183	Présence du Fantastique	\N
185	Harlequin American Romance	\N
187	Presses de la Cité - Futurama	234772
188	World Book Day Specials	\N
189	Presses de la Cité - Futurama Superlights	234967
190	Quick Reads	\N
191	Albin Michel - Science-Fiction	235654
194	Wildside Fantasy Classics	\N
195	Quill Pen Classics	\N
196	Pulp Vault Pulp Study	\N
197	Spectrum - Twentieth-Century Views	\N
199	Classics of Science Fiction	\N
200	Red Fox Classics	\N
201	Albin Michel - Super-Fiction	236162
202	Drumm Booklet	\N
203	Hollywood Hotplates	\N
204	Creative's classic stories	\N
205	Muse library	\N
206	The Brocade Series	\N
207	Bibliothèque Marabout - Science Fiction	\N
208	The Grand Master Editions	\N
209	Albin Michel - Aventures Galactiques	\N
210	The Serif Series	\N
211	Albin Michel - Super+Fiction	236358
212	Présence du Futur	239713
214	Arena Kinderbuch-Klassiker	\N
215	Young Classics	\N
216	Weird Heroes	\N
217	Joke and Fun Books	\N
218	Masterworks of Science Fiction and Fantasy (Byron Preiss)	\N
219	Templar Classics	\N
220	Big Little Books	\N
221	Longman Cultural Editions	\N
222	Science Fiction Book Review Index	\N
223	Liverpool Science Fiction Texts and Studies	336909
226	Sparrow Art Books	\N
227	Christian Encounters	\N
231	Bluejay Special Edition	\N
232	Masters of the Weird Tale	\N
233	Lunes d'encre	\N
235	Liverpool English Texts and Studies	\N
236	Wells Unleashed Series	\N
237	Twin Spins	\N
238	Children's Literature Association Centennial Studies	\N
239	Studies in Speculative Fiction	\N
240	Continuum Studies in Literary Genre	\N
243	Future Classics	\N
247	Penguin Great Books of the 20th Century	\N
249	Knaur Science Fiction & Fantasy	\N
250	Heyne Sachbuch	\N
251	Presses Pocket - Science Fiction	245159
253	Bibliothek der Science Fiction Literatur	\N
254	La Dentelle du Cygne	\N
256	Space Opera Collection	\N
257	Moewig Science Fiction	\N
259	Starmont Facsimile Fiction	\N
261	Forrest J Ackerman Presents	\N
264	Early Classics of Science Fiction	\N
265	Bison Frontiers of Imagination	\N
266	Popular Culture Studies	\N
269	Wildside Double	\N
270	Modern Literature	\N
271	The Fitzroy Edition of Jules Verne	241031
272	Utopia Classics	\N
273	Junior Deluxe Editions	\N
274	Illustrated Junior Library	\N
275	Companion Library	\N
276	Best Seller Classics	\N
277	PS Showcase	\N
278	Oxford World's Classics	\N
