1	Chronicles of Aten	\N	\N
3	Voyagers (Ben Bova)	\N	\N
6	Hyperion Cantos	\N	\N
8	Dragaeran Empire	\N	\N
9	Vlad Taltos	8	\N
10	Conquerors	\N	\N
11	Star Wars	207	\N
14	Cobra	26030	\N
17	Blackcollar	\N	\N
19	Venus (Edgar Rice Burroughs)	\N	\N
23	Pellucidar	\N	428890
28	Tarzan	24226	\N
52	Barsoom	\N	\N
61	Ayesha	\N	393990
64	Allan Quatermain	\N	\N
78	Phoenix	\N	\N
82	Guna	\N	\N
84	Seventh Carrier	\N	\N
90	Takers	\N	\N
92	The Defender	\N	\N
104	Survivalist	\N	380945
133	Tcity	\N	\N
136	Sentience	\N	\N
138	The Mystery	\N	\N
140	Stairway to Forever	\N	\N
142	Castaways in Time	\N	\N
148	Horseclans	28340	\N
165	Hitchhiker's Guide to the Galaxy	\N	\N
166	Zandra	\N	\N
169	Sacred Hunt	24091	\N
170	Exiles (Angus Wells)	\N	\N
171	Honor Harrington	11647	\N
172	Mennyms	\N	\N
173	Cat	\N	\N
174	Worldwar	12382	\N
180	The Fey	\N	\N
185	Mars Trilogy	\N	\N
186	Discworld	\N	\N
190	Jupiter	\N	\N
191	Wodan	\N	\N
192	Anno Dracula	\N	\N
193	Second Ether Trilogy	\N	\N
194	Galactic Milieu	\N	\N
196	Necroscope	\N	\N
204	Valdemar	\N	\N
205	Mage Storms	204	\N
206	Mage Wars	204	\N
207	Star Wars Universe	\N	\N
208	Star Wars: Black Fleet Crisis	207	\N
209	Keltiad	\N	\N
210	Tales of Arthur	209	\N
211	The Book of Words	\N	\N
212	The Aleutian Trilogy	40671	503372
213	Dalemark	\N	\N
214	The Farseer	12453	\N
216	Cat Scratch Fever	\N	\N
217	Plenty / Tabitha Jute	\N	\N
219	Sword of Truth	12105	\N
220	The Drenai Saga	\N	\N
221	The Dragon Circle	\N	\N
224	Sweet Valley Universe	\N	\N
225	The Summerlands	\N	\N
226	Humanx Commonwealth Universe	\N	\N
227	Pip & Flinx	226	\N
228	Riftwar Universe	\N	\N
229	Serpentwar Saga	228	\N
231	Riftwar Saga	228	\N
232	Nicholas Seafort	\N	\N
233	The Gap	\N	390969
234	The Dragon and the George	\N	\N
236	Goldenwing Cycle	\N	\N
237	Chronicles of the Black Company	\N	\N
238	Glittering Stones	237	\N
239	First Foreigner Sequence	12478	\N
241	Vorkosi-verse	\N	\N
242	Miles Vorkosigan	241	\N
245	Heritage of Shannara	11815	\N
246	Darkover	\N	\N
247	Ocean / Galactic Center	\N	\N
248	Water!	\N	\N
251	Crashcourse	\N	\N
252	Harvest of Stars	\N	\N
253	James Asher Chronicles	\N	\N
254	Arthor	\N	\N
257	Fault Lines	\N	\N
259	Xeelee	\N	\N
261	Maijstral	\N	\N
262	Rusalka	\N	\N
264	Morgaine	\N	\N
266	Age Of Exploration	267	\N
267	Union-Alliance	\N	\N
268	Company Wars	267	\N
271	Psychotechnic League	\N	\N
276	Maurai	\N	\N
278	History of Rustum	\N	\N
281	Dying Earth	\N	\N
282	Time and Again	\N	\N
284	Orion	\N	\N
293	Exiles (Ben Bova)	\N	\N
296	Trackers (Patrick Carman)	\N	\N
298	Hainish	\N	\N
300	Attar	\N	\N
302	War Against the Chtorr	\N	\N
304	Svetz	\N	\N
305	Star Trek: The Next Generation Numbered	1835	\N
306	Urban Nucleus	\N	\N
307	Uplift Universe	\N	\N
308	Uplift Storm	307	\N
309	The Worthing Chronicle	\N	\N
311	The Alvin Maker Saga	\N	\N
312	The Vampire Chronicles	\N	\N
314	Star Trek Universe	\N	370060
317	Young Wizards	\N	\N
320	Tale of the Five	\N	\N
323	Black Cat Club	\N	\N
326	Star Hounds	\N	\N
329	Star Fall	\N	\N
331	Nightworld	\N	\N
333	Dragonstar	\N	\N
337	Star Wars: Jedi Academy	207	\N
340	Gamearth	\N	\N
343	Aggressor Six	\N	\N
344	Harmony of Worlds	\N	\N
348	Oracle	21389	\N
349	Chronicles of Lucifer Jones	\N	\N
351	Tales of the Velvet Comet	21389	\N
355	Tales of the Galactic Midway	21389	\N
359	Chronicles Of Distant Worlds	21389	\N
362	Ganymede	\N	\N
366	Timeraider	\N	\N
374	Metropolitan	\N	\N
375	Book of The Long Sun	11836	\N
379	Amber	\N	\N
380	Merlin (Amber)	379	\N
382	Dilvish	\N	\N
383	Cormac Mac Art	\N	\N
384	War of the Wizards	\N	\N
389	Thieves' World	\N	\N
390	War of the Gods on Earth	\N	\N
397	Conan	32433	\N
400	Rim World	\N	\N
401	John Grimes Rimworld	400	\N
408	Empress Irene	400	\N
429	Radix Tetrad	\N	\N
432	Andromeda	\N	\N
435	Ender Wiggin	12290	\N
438	Zimiamvian Trilogy	\N	\N
441	Worlds	\N	\N
442	Imperium	\N	\N
448	The Snow Queen Cycle	\N	\N
449	Null-A	\N	\N
452	State	\N	\N
454	Gaean	\N	\N
455	Oz	21605	\N
467	Incarnations of Immortality	\N	\N
468	The Mayfair Witches Saga	\N	\N
469	Sun-Wolf	\N	\N
